content,score,thumbsUpCount,at,texto_Traducido
"Paying tons of money for premium account but experiencing problems with connectivity, might be server problems. Cannot open received alboms, some massages failed to be sent. A lot of bugs, too much for expensive premium account!",1,1,18/05/2024 10:56,"Paying tons of money for premium account but experiencing problems with connectivity, might be server problems. Cannot open received alboms, some massages failed to be sent. A lot of bugs, too much for expensive premium account!"
"It has som album sharing problems , it cant open or show empty .",1,0,18/05/2024 10:38,"It has som album sharing problems , it cant open or show empty ."
The problem here that I encounter is how come I'd don't see any pictures the the other party sent and I couldn't see their album that they sent also my album I cant see the picture,3,0,18/05/2024 10:31,The problem here that I encounter is how come I'd don't see any pictures the the other party sent and I couldn't see their album that they sent also my album I cant see the picture
Nor working properly.. Hang while chatting.. To much problems,1,1,18/05/2024 09:41,Nor working properly.. Hang while chatting.. To much problems
Login problems ...showing something went wrong,1,1,18/05/2024 07:35,Login problems ...showing something went wrong
"This new update is so irritating can't see anyone's album properly, sometimes it's showing issue with sending mssgs,many more it's such a pain in the neck 😪",1,1,18/05/2024 07:16,"This new update is so irritating can't see anyone's album properly, sometimes it's showing issue with sending mssgs,many more it's such a pain in the neck 😪"
Today too much facing problem I can't show n see album any one please solve the problem 🙏,1,2,18/05/2024 06:42,Today too much facing problem I can't show n see album any one please solve the problem 🙏
The latest update has bugs. I am unable to see album photos. They don't open UP. The problem with the app persists SINCE yesterday update.,1,20,18/05/2024 06:25,The latest update has bugs. I am unable to see album photos. They don't open UP. The problem with the app persists SINCE yesterday update.
"it's good, i been able to meet some ppl on here. my only problem is, sometimes i can't view the albums sent to me. even when i have good wifi connection and service. and it sometimes takes away the albums i have seen, so i can't view em :/...pls fix this. i have the latest version of this app and still it don't work.",2,0,18/05/2024 02:44,"it's good, i been able to meet some ppl on here. my only problem is, sometimes i can't view the albums sent to me. even when i have good wifi connection and service. and it sometimes takes away the albums i have seen, so i can't view em :/...pls fix this. i have the latest version of this app and still it don't work."
"worthless. DO NOT GET THIS APP. it does not work. people can BLOCK YOU FROM YOUR OWN CHATS WHILE LEAVING PICS AVAILABLE TO OTHER PERSON. WARNING. WARNING. WARNING. NEVER DOWNLOAD.. (the ""support"" they offer under these comments is also worthless.) grindr has No intention of actually addressing the privacy and security issues with this app. this review has not changed. more than a year later its only gotten worse. dont waste your time",1,19,18/05/2024 01:13,"worthless. DO NOT GET THIS APP. it does not work. people can BLOCK YOU FROM YOUR OWN CHATS WHILE LEAVING PICS AVAILABLE TO OTHER PERSON. WARNING. WARNING. WARNING. NEVER DOWNLOAD.. (the ""support"" they offer under these comments is also worthless.) grindr has No intention of actually addressing the privacy and security issues with this app. this review has not changed. more than a year later its only gotten worse. dont waste your time"
The app is lagging in all aspects. New update is really painful 😔 please fix it ASAP. Can't open the album. What is wrong with the app,2,3,18/05/2024 01:09,The app is lagging in all aspects. New update is really painful 😔 please fix it ASAP. Can't open the album. What is wrong with the app
After New Update Message List Continue Showing Autometic Refresh.Message Box All Time Refresh Showing.Plz Fixed This Problem.Why Harrasment All Time Users??.And Why Taps Option Now Paid???.Why Many More Option Paid??.Plz Withdrawn Taps Paid Service.Otherwist Everyone Uninstall This App.😡😡,2,5,18/05/2024 00:53,After New Update Message List Continue Showing Autometic Refresh.Message Box All Time Refresh Showing.Plz Fixed This Problem.Why Harrasment All Time Users??.And Why Taps Option Now Paid???.Why Many More Option Paid??.Plz Withdrawn Taps Paid Service.Otherwist Everyone Uninstall This App.😡😡
"i've been threatened by a fascist in this app and support didn't do anything about it, this is horrible",1,2,17/05/2024 16:20,"i've been threatened by a fascist in this app and support didn't do anything about it, this is horrible"
"Updated: I'm on the verge of just deleting grindr for good. The number of ads that pop up is insane. These ads also crash the app constantly. We're here to see local men, not an ad everytime you click a profile or chat. Don't waste your time if you're not on grindr already Every year the app gets worse and more glitchy. Every time I take a break and come back to the app it feels like whatever updates they add just slows it down and makes new problems. The app continues to get worse",1,3,17/05/2024 16:14,"Updated: I'm on the verge of just deleting grindr for good. The number of ads that pop up is insane. These ads also crash the app constantly. We're here to see local men, not an ad everytime you click a profile or chat. Don't waste your time if you're not on grindr already Every year the app gets worse and more glitchy. Every time I take a break and come back to the app it feels like whatever updates they add just slows it down and makes new problems. The app continues to get worse"
Hate then the ad stops my music from playing. Get ads that don't interrupt my vibe,1,3,17/05/2024 14:13,Hate then the ad stops my music from playing. Get ads that don't interrupt my vibe
"If y'all think there is going to be an adjustment period where users eventually accept your obtuse and excessive ads, you are extremely mistaken. PLEASE CHOOSE TO RESPECT YOUR USERS, AND TONE DOWN THE ADS!!! they are so extreme, NO ONE will ever pay for your app. It's obvious that you think people will pay just to make them go away. THAT IS A VERY HARD NOPE!! NO THANKS! This extreme problem needs to be your development teams first priority! Nothing else should matter to you right now.",1,25,17/05/2024 11:32,"If y'all think there is going to be an adjustment period where users eventually accept your obtuse and excessive ads, you are extremely mistaken. PLEASE CHOOSE TO RESPECT YOUR USERS, AND TONE DOWN THE ADS!!! they are so extreme, NO ONE will ever pay for your app. It's obvious that you think people will pay just to make them go away. THAT IS A VERY HARD NOPE!! NO THANKS! This extreme problem needs to be your development teams first priority! Nothing else should matter to you right now."
"Unable to create new account having major problem with registration saying ""error registration"" yet when you try to reregister another error pops out saying already have account registered but when I tried to login another error saying ""error in registration. This is tiring and a complete waste of time. When you try to create/login using gmail it doesnt work and will the same error! Very disappointing and a complete waste of time",1,1,17/05/2024 02:06,"Unable to create new account having major problem with registration saying ""error registration"" yet when you try to reregister another error pops out saying already have account registered but when I tried to login another error saying ""error in registration. This is tiring and a complete waste of time. When you try to create/login using gmail it doesnt work and will the same error! Very disappointing and a complete waste of time"
Restrictions of expired photo do not consider low or no income fun especially for us who comes from countries samesex is banned as crime and descriminated,2,3,16/05/2024 21:40,Restrictions of expired photo do not consider low or no income fun especially for us who comes from countries samesex is banned as crime and descriminated
You can put as many obstacles in the way as you like! But it will not force me into paying for an app that is just about useless! Not to mention the extortionate prices! I'll simply discontinue using it. Too many ads too!,1,378,16/05/2024 10:58,You can put as many obstacles in the way as you like! But it will not force me into paying for an app that is just about useless! Not to mention the extortionate prices! I'll simply discontinue using it. Too many ads too!
I'm happy and it's safe apps,5,0,16/05/2024 09:07,I'm happy and it's safe apps
"This app is slow,with so many adds. It can be quite frustrating.Unless you pay for it ,you will have hard time navigating.i can not view more than 3 or 4 profiles when I set the age limit to my search .I can't view people who taped or viewed my profile.very limited ,using it out of boredom ,not much happening,most gays do not use it nowdays.i have no problem paying for membership,but the app is not good .fake profiles and scams ,not to mention the narcissistic nature of many users.",1,2,16/05/2024 03:33,"This app is slow,with so many adds. It can be quite frustrating.Unless you pay for it ,you will have hard time navigating.i can not view more than 3 or 4 profiles when I set the age limit to my search .I can't view people who taped or viewed my profile.very limited ,using it out of boredom ,not much happening,most gays do not use it nowdays.i have no problem paying for membership,but the app is not good .fake profiles and scams ,not to mention the narcissistic nature of many users."
Won't refresh and lagging too hate it,1,1,16/05/2024 03:26,Won't refresh and lagging too hate it
"O problema não é ter anúncio, mas ter anúncio igual de site de filme pirada, impossível pular o anúncio sem abrir o link do anunciante, chato demais!!!",1,0,16/05/2024 01:46,"O problema não é ter anúncio, mas ter anúncio igual de site de filme pirada, impossível pular o anúncio sem abrir o link do anunciante, chato demais!!!"
Worst app... Toxic environment... They hate masseur but many here are selling drugs offer escort services paid sex.... Masseur are much better than them they offer relaxation and they work to live and provide for theirs families..... Hypocrite people.....,1,1,15/05/2024 23:14,Worst app... Toxic environment... They hate masseur but many here are selling drugs offer escort services paid sex.... Masseur are much better than them they offer relaxation and they work to live and provide for theirs families..... Hypocrite people.....
"Becoming malware. Everyone UNINSTALL NOW ... especially when you only get TWO ROWS, 6, showing. 1000 adverts every hour each stealing your data and given free and openly to US govt... they're worse than RUS n CN at least they're transparent about it. This app is going BUST, every profile you is now accompanied by an ADVERT. COMPLETELY UNUSABLE!!! GOOD RIDDANCE UNINSTALL THIS APP NOW",1,3,15/05/2024 20:44,"Becoming malware. Everyone UNINSTALL NOW ... especially when you only get TWO ROWS, 6, showing. 1000 adverts every hour each stealing your data and given free and openly to US govt... they're worse than RUS n CN at least they're transparent about it. This app is going BUST, every profile you is now accompanied by an ADVERT. COMPLETELY UNUSABLE!!! GOOD RIDDANCE UNINSTALL THIS APP NOW"
"This app is getting worst with every update, eliminating whatever free already almost none features. I'll tell you what I am not paying for upgrade, rather delete and move on to another app altogether",2,2,15/05/2024 16:21,"This app is getting worst with every update, eliminating whatever free already almost none features. I'll tell you what I am not paying for upgrade, rather delete and move on to another app altogether"
"The app became unuseable.... Since last couple of updates, messages are not delivered, opened messages appear unread, location not refreshing... It has several problems. Not even to mention the amount of advertisements. You can not enjoy Grindr anymore.",1,0,15/05/2024 14:06,"The app became unuseable.... Since last couple of updates, messages are not delivered, opened messages appear unread, location not refreshing... It has several problems. Not even to mention the amount of advertisements. You can not enjoy Grindr anymore."
"This app logs me out automatically every time. I've downloaded over and over, but the problem, but it still persists. I can't open messages. I can't view profiles. I open it and then logged out. Please assist.",1,0,15/05/2024 03:41,"This app logs me out automatically every time. I've downloaded over and over, but the problem, but it still persists. I can't open messages. I can't view profiles. I open it and then logged out. Please assist."
Not working on my A12 why?? Have tried all means..what's the problem??,5,0,15/05/2024 01:41,Not working on my A12 why?? Have tried all means..what's the problem??
"BOOOOOOOO. The app was already annoying to use without paying for one of their overpriced subscriptions. Now they've taken away features that were free in an effort to steer more people toward the same subs! They want 12 or 24 dollars worth of your hard earned money per WEEK to use simple things like viewing taps, received photos and more. Absolutely shameless, extortion. Be real Grindr, no chat app is worth that price and the features aren't worth it either. Delete this app.",1,2,14/05/2024 00:25,"BOOOOOOOO. The app was already annoying to use without paying for one of their overpriced subscriptions. Now they've taken away features that were free in an effort to steer more people toward the same subs! They want 12 or 24 dollars worth of your hard earned money per WEEK to use simple things like viewing taps, received photos and more. Absolutely shameless, extortion. Be real Grindr, no chat app is worth that price and the features aren't worth it either. Delete this app."
Wow this app is really annoying and has many glitches. I know you need to advertise to make money but you're definitely going about it the wrong way. Maybe fix the glitches and get rid of the fake accounts. I'm really getting tired of scammers contacting me and wasting my time. Pretty soon the App will be useless because The app and the people won't be able to be trusted.,1,1,13/05/2024 23:34,Wow this app is really annoying and has many glitches. I know you need to advertise to make money but you're definitely going about it the wrong way. Maybe fix the glitches and get rid of the fake accounts. I'm really getting tired of scammers contacting me and wasting my time. Pretty soon the App will be useless because The app and the people won't be able to be trusted.
Third class app everytime there is a glitch and hang problem in app. And slow as hell tests patiance.,1,0,13/05/2024 22:32,Third class app everytime there is a glitch and hang problem in app. And slow as hell tests patiance.
"Thank you Grindr for taking cyber bullying seriously, I promise I will try to help in keeping the community safe.",5,0,13/05/2024 20:35,"Thank you Grindr for taking cyber bullying seriously, I promise I will try to help in keeping the community safe."
"Initially the app would not allow me to refresh. After being told to ""RETRY"" several times, I eventually signed out and attempted all the troubleshooting methods to sign into my account. Eventually I had to reinstall the app and still can't access my account. I currently have an active subscription that I hope will help identify my account. This is the second time I've experienced login issues after not getting the problem resolved the first time I had to create a new account. HELP",1,9,13/05/2024 16:51,"Initially the app would not allow me to refresh. After being told to ""RETRY"" several times, I eventually signed out and attempted all the troubleshooting methods to sign into my account. Eventually I had to reinstall the app and still can't access my account. I currently have an active subscription that I hope will help identify my account. This is the second time I've experienced login issues after not getting the problem resolved the first time I had to create a new account. HELP"
"Finally got to sign in. Omg ads... Everywhere... After every click it's an ad. Should be ""grindr - ad chat"" Taken away two explores, way to many scammers. Only get to see 3 people...Don't waste your time on this rubbish. Obviously having issues so they are pushing for every dollar they can get.",1,13,13/05/2024 14:07,"Finally got to sign in. Omg ads... Everywhere... After every click it's an ad. Should be ""grindr - ad chat"" Taken away two explores, way to many scammers. Only get to see 3 people...Don't waste your time on this rubbish. Obviously having issues so they are pushing for every dollar they can get."
Not recommended it has a lot of problem,1,0,13/05/2024 06:58,Not recommended it has a lot of problem
"Logging in is such a hassle, it keeps telling me registration error😒",1,0,13/05/2024 04:23,"Logging in is such a hassle, it keeps telling me registration error😒"
This app can't even not login Always showing registration error I tried so many times but not working So many of people facing same problem Please resolve it as soon as possible 🙏,1,3,13/05/2024 04:04,This app can't even not login Always showing registration error I tried so many times but not working So many of people facing same problem Please resolve it as soon as possible 🙏
"i reported this guy that was severely harrassing me through the app even after i blocked him. he kept on making new accounts and i got a warning for harrassment since i kept reporting him. like what?? it's way too easy for predators to get away with what they do on this app. update: removed the feature to press enter in your bio. for what reason? who knows. should've kept it. update: all of the ads added recently, you'd think they'd add more safety to the platform, you'd be dead wrong.",1,1,12/05/2024 23:07,"i reported this guy that was severely harrassing me through the app even after i blocked him. he kept on making new accounts and i got a warning for harrassment since i kept reporting him. like what?? it's way too easy for predators to get away with what they do on this app. update: removed the feature to press enter in your bio. for what reason? who knows. should've kept it. update: all of the ads added recently, you'd think they'd add more safety to the platform, you'd be dead wrong."
This app is nothing but a disgusting cash grab. The price is way to high to subscribe to and thr free version has so many ads it's basically harassment. And now you charge to see who tapped you? Disgusting,1,8,12/05/2024 16:55,This app is nothing but a disgusting cash grab. The price is way to high to subscribe to and thr free version has so many ads it's basically harassment. And now you charge to see who tapped you? Disgusting
Harassed with commercials on every single conversation. The good side of it is that I don't use the app that much anymore,1,2,12/05/2024 16:13,Harassed with commercials on every single conversation. The good side of it is that I don't use the app that much anymore
Poor app doesn't refresh profiles properly and far to many adverts after viewing profiles fix the problems to make it a better app can't even download the app now any ideas why??? I am so sick of this app why is it every time you try to create a new account you always have difficulty errors always occur grinder needs to pull their finger out n get it sorted yet again problems with grindr won't even accept my number what a joke this site is seriously,1,9,12/05/2024 05:53,Poor app doesn't refresh profiles properly and far to many adverts after viewing profiles fix the problems to make it a better app can't even download the app now any ideas why??? I am so sick of this app why is it every time you try to create a new account you always have difficulty errors always occur grinder needs to pull their finger out n get it sorted yet again problems with grindr won't even accept my number what a joke this site is seriously
Everytime I go on the app there is a fake account messaging me to go to a malicious website. None of the other apps have this problem. Sort it out. When reporting these accounts will often be played an ad after. There are too many ads in general,1,1,11/05/2024 23:07,Everytime I go on the app there is a fake account messaging me to go to a malicious website. None of the other apps have this problem. Sort it out. When reporting these accounts will often be played an ad after. There are too many ads in general
completely broken cant even make an account (even tho i have one but am locked out by errors) because its nothing but errors. Further their website is completely useless and forces you to use the mobile app if you have a problem. even if you do manage to make/ get ahold of your account and try and log in it just says registration error. this is a joke of an app. Update completely new phone and this garbage fire still doesn't work. Just embarrassing,1,28,11/05/2024 18:47,completely broken cant even make an account (even tho i have one but am locked out by errors) because its nothing but errors. Further their website is completely useless and forces you to use the mobile app if you have a problem. even if you do manage to make/ get ahold of your account and try and log in it just says registration error. this is a joke of an app. Update completely new phone and this garbage fire still doesn't work. Just embarrassing
Grindr is not safe .,1,3,11/05/2024 12:01,Grindr is not safe .
I have noticed that when I have a OBS scammer contact me and I report it that I get an ad that takes over my screen right away,1,1,10/05/2024 21:47,I have noticed that when I have a OBS scammer contact me and I report it that I get an ad that takes over my screen right away
Every single time i open the app it's harassing me about my notifications being off,1,13,10/05/2024 16:35,Every single time i open the app it's harassing me about my notifications being off
