reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,texto_Traducido
8c890107-82ec-47ec-a3ac-edc571c71c19,Rob Pearson,https://play-lh.googleusercontent.com/a-/ALV-UjX18Eqb-Xu4f_42gCR7G6-PlfaPaj03Js11ZHY5BIeQ3Uet4NEy1w,"Videos shared and albums usually will not show. Have to close and reopen app to see if there are new messages since it will not notify now. Clicking to close a ad usually opens the ad, and that's on top of the issue that there are two and three steps to closing out a ad.",2,1,24.5.0,2024-05-18 11:04:57,,,24.5.0,"Videos shared and albums usually will not show. Have to close and reopen app to see if there are new messages since it will not notify now. Clicking to close a ad usually opens the ad, and that's on top of the issue that there are two and three steps to closing out a ad."
014eae74-b4bd-4e8f-bdc8-32daa121942f,cacu clemente,https://play-lh.googleusercontent.com/a-/ALV-UjWiUjQDgJW8g9PSR8p6nIbSP-9LOjnaPFp9-LM3s5_AXKWPQeB1,With every single actualisation it gets worse xD,3,1,24.5.0,2024-05-18 11:03:56,,,24.5.0,With every single actualisation it gets worse xD
4ce35d2f-487d-43c8-a813-202d6699797c,Krishna Murthy,https://play-lh.googleusercontent.com/a/ACg8ocLFUIP8wwtlhIL74tPub6XqBYNmHt-02Bw79FSoxbebpxFTew=mo,Fantastic,5,0,,2024-05-18 10:57:07,,,,Fantastic
b707c38e-b432-4e47-925a-cc16173aa8d4,Yevgeny Tsirulsky,https://play-lh.googleusercontent.com/a-/ALV-UjXm5eCBNzvSem6vV_cPPnDVUj326vb5Pk6QIprsp9eIzRV9RQ4Q,"Paying tons of money for premium account but experiencing problems with connectivity, might be server problems. Cannot open received alboms, some massages failed to be sent. A lot of bugs, too much for expensive premium account!",1,1,24.5.0,2024-05-18 10:56:11,,,24.5.0,"Paying tons of money for premium account but experiencing problems with connectivity, might be server problems. Cannot open received alboms, some massages failed to be sent. A lot of bugs, too much for expensive premium account!"
f226f548-0845-4096-82e0-0f7facb0c2b8,Mark John Culili,https://play-lh.googleusercontent.com/a-/ALV-UjVXaLrNM4EA3GIM32U7uh3O2DXuCug2f03rejs0RUftm50dSEk,I cannot view albums sent by grindr user.,1,1,24.5.0,2024-05-18 10:53:42,,,24.5.0,I cannot view albums sent by grindr user.
1df77e48-c9bf-4029-9004-dd6402cc4432,Donald Garretson (Don),https://play-lh.googleusercontent.com/a/ACg8ocIK0zmS_a9L5d7Yxl0UBmvDcwVbwWsPe2QYqIdK-cGkd-5P5g=mo,"Ads ignoring muted phone. Ads need to be muted by default. No other app ignores mute like Grindr ads do. Stop being greedy and go back to roots: making it easier to meet without paying a lot of money. Stop limiting features (like seeing who viewed profile, viewing of unlimited albums, etc.) that started as free. Make videos, mock locations, viewing other Countries, incognito, and video calls paid services. Response to Grindr: I Learned what attracts me, and I'm letting others know politely.",1,236,24.5.0,2024-05-18 10:39:15,"Hi Don, We don't ask that you're attracted to everyone! We just ask that you say what you ARE into, and not what you're NOT into - and that you say it kindly and respectfully. You can learn more about our policies here: https://www.grindr.com/community-guidelines/?lang=en-US",2022-12-15 19:29:36,24.5.0,"Ads ignoring muted phone. Ads need to be muted by default. No other app ignores mute like Grindr ads do. Stop being greedy and go back to roots: making it easier to meet without paying a lot of money. Stop limiting features (like seeing who viewed profile, viewing of unlimited albums, etc.) that started as free. Make videos, mock locations, viewing other Countries, incognito, and video calls paid services. Response to Grindr: I Learned what attracts me, and I'm letting others know politely."
1b3fdb87-216e-443b-a844-b96a9a6a35b6,Dayan Hulugalla,https://play-lh.googleusercontent.com/a/ACg8ocLD-Gflljao3mBqI6UROELFxARoOIh_1PgaLKnYc6qUVuur4Q=mo,"It has som album sharing problems , it cant open or show empty .",1,0,,2024-05-18 10:38:08,,,,"It has som album sharing problems , it cant open or show empty ."
91dd4b71-ec1b-412f-9f24-afbfc9bb4d4b,Luijean Sacro,https://play-lh.googleusercontent.com/a/ACg8ocLFbMnhghAofL8RTTufo1fVf7TX_8y5yPTVZUkRggowhmmzfw=mo,The problem here that I encounter is how come I'd don't see any pictures the the other party sent and I couldn't see their album that they sent also my album I cant see the picture,3,0,24.5.0,2024-05-18 10:31:01,,,24.5.0,The problem here that I encounter is how come I'd don't see any pictures the the other party sent and I couldn't see their album that they sent also my album I cant see the picture
f3913d85-73bc-45a0-9e52-fcffbd61a58d,Kevin H,https://play-lh.googleusercontent.com/a/ACg8ocKhzhpFdtLTSlQo3eFjYfBcUD6YmmWdI8_c-7Hu2cgE7smSCA=mo,"Since last update getting a ton more ads and album pics no longer load. Tried restarting phone, even reinstalled app with no luck. Reverse that last update...",1,0,24.5.0,2024-05-18 10:26:57,,,24.5.0,"Since last update getting a ton more ads and album pics no longer load. Tried restarting phone, even reinstalled app with no luck. Reverse that last update..."
656be405-a192-4212-9f3d-08255c124e84,Iggy Tekula,https://play-lh.googleusercontent.com/a-/ALV-UjUR7HoKClwiv8LZrUDEunO4CZoZczccyEnJS96N6Ij3JyZEPhd_tw,"Lately horrible performance. Keeps crushing, messages are not sending, videos are not sending, feed is not loading, etc. 18/04/24 update can't even login anymore. Who ever is doing development, doing pretty poor job with releases.",1,2,24.5.0,2024-05-18 10:24:39,,,24.5.0,"Lately horrible performance. Keeps crushing, messages are not sending, videos are not sending, feed is not loading, etc. 18/04/24 update can't even login anymore. Who ever is doing development, doing pretty poor job with releases."
